time_Com_1535,	Mean_Com_1535,	Signal_Com_1535,	sdev_Com_1535
1972:04,	3.5859613,	2.889935,	1.0608268
1973:01,	3.4054308,	2.7915807,	0.9964703
1973:02,	3.3422043,	3.0656607,	0.89939994
1973:03,	3.350532,	3.3348775,	0.79077303
1973:04,	3.641629,	4.4712467,	0.8496774
1974:01,	4.057253,	5.2891717,	1.0281765
1974:02,	4.750414,	6.830535,	1.503619
1974:03,	5.843344,	9.185869,	2.325548
1974:04,	6.926857,	10.406936,	2.8308792
1975:01,	7.9081197,	10.95156,	3.0287135
1975:02,	8.368571,	9.942823,	2.7797756
1975:03,	8.218048,	7.8609605,	2.422209
1975:04,	7.8138695,	6.6837234,	2.2129235
1976:01,	7.4611983,	6.43013,	2.0267096
1976:02,	7.1292877,	6.216179,	1.846906
1976:03,	6.989396,	6.5421658,	1.6466413
1976:04,	6.794299,	6.208082,	1.4775416
1977:01,	6.595987,	5.985676,	1.3470148
1977:02,	6.5170846,	6.2378497,	1.1983895
1977:03,	6.3998647,	6.031979,	1.0746226
1977:04,	6.3076725,	6.00566,	0.96585006
1978:01,	6.264764,	6.121597,	0.85814714
1978:02,	6.3322134,	6.543147,	0.77543813
1978:03,	6.5633235,	7.263573,	0.7969906
1978:04,	6.946203,	8.111165,	0.9792902
1979:01,	7.372249,	8.652957,	1.1381158
1979:02,	7.767379,	8.958273,	1.214068
1979:03,	8.164679,	9.375105,	1.2741752
1979:04,	8.668292,	10.165544,	1.4168882
1980:01,	9.385491,	11.504838,	1.7409524
1980:02,	10.10817,	12.466452,	2.022477
1980:03,	10.399803,	11.395132,	1.8549432
1980:04,	10.642382,	11.475942,	1.6920755
1981:01,	10.511161,	10.16164,	1.5025586
1981:02,	10.1374855,	9.053799,	1.4669112
1981:03,	9.554853,	7.825,	1.6246946
1981:04,	9.082739,	7.7,	1.6286656
1982:01,	8.478919,	6.625,	1.7774893
1982:02,	7.859019,	6.0375,	1.8691833
1982:03,	7.3994994,	5.975,	1.8321124
1982:04,	6.9524198,	5.5,	1.810103
1983:01,	6.3944287,	4.525,	1.9153644
1983:02,	6.012102,	4.725,	1.8370144
1983:03,	5.6856146,	4.5375,	1.7486796
1983:04,	5.5622716,	5.15,	1.5479
1984:01,	5.3962917,	4.8125,	1.4092124
1984:02,	5.392952,	5.3,	1.258347
1984:03,	5.29228,	4.95,	1.1244707
1984:04,	5.084735,	4.425,	1.0636096
1985:01,	4.8469353,	4.125,	1.0197875
1985:02,	4.730367,	4.35,	0.92863184
1985:03,	4.619699,	4.25,	0.8464356
1985:04,	4.435372,	3.85,	0.8315463
1986:01,	4.2349877,	3.5875,	0.8271705
1986:02,	4.0340734,	3.4125,	0.79489905
1986:03,	3.9072554,	3.5,	0.7347738
1986:04,	3.8500035,	3.625,	0.67896456
1987:01,	3.8693004,	3.9,	0.60210603
1987:02,	3.997652,	4.3625,	0.57497305
1987:03,	4.1233187,	4.5,	0.54838556
1987:04,	4.1849613,	4.375,	0.48850304
1988:01,	4.1889453,	4.2,	0.42943433
1988:02,	4.2853856,	4.575,	0.42580444
1988:03,	4.454814,	4.975,	0.47809833
1988:04,	4.564575,	4.9,	0.45719478
1989:01,	4.631274,	4.85,	0.42063266
1989:02,	4.7001405,	4.9125,	0.3904639
1989:03,	4.6854625,	4.65,	0.3506642
1989:04,	4.5668974,	4.225,	0.37360448
1990:01,	4.5119476,	4.35,	0.34593856
1990:02,	4.4325366,	4.2,	0.3348397
1990:03,	4.4392023,	4.45,	0.29029122
1990:04,	4.457764,	4.5125,	0.25222546
1991:01,	4.2632914,	3.6625,	0.40987316
1991:02,	4.163031,	3.8375,	0.40372953
1991:03,	4.066813,	3.7725,	0.39170474
1991:04,	3.946458,	3.55,	0.41210338
1992:01,	3.8189328,	3.4,	0.43414557
1992:02,	3.7497063,	3.525,	0.40226504
1992:03,	3.6473875,	3.325,	0.3995331
1992:04,	3.5512364,	3.25,	0.39123112
1993:01,	3.4719665,	3.2125,	0.37599337
1993:02,	3.4565141,	3.375,	0.34257716
1993:03,	3.419809,	3.3,	0.31011882
1993:04,	3.329002,	3.03,	0.32794517
1994:01,	3.3006883,	3.2,	0.2970155
1994:02,	3.2981396,	3.275,	0.26443252
1994:03,	3.3092566,	3.325,	0.23918116
1994:04,	3.3375266,	3.425,	0.21173449
1995:01,	3.3589737,	3.4125,	0.19399601
1995:02,	3.4010847,	3.525,	0.1882122
1995:03,	3.3707745,	3.275,	0.16441089
1995:04,	3.2650971,	2.95,	0.23251228
1996:01,	3.1448987,	2.775,	0.29398492
1996:02,	3.0805578,	2.875,	0.28297618
1996:03,	3.063192,	3.0025,	0.2493354
1996:04,	3.0564992,	3.025,	0.21859045
1997:01,	3.0589592,	3.0625,	0.18900123
1997:02,	3.0450375,	3.0,	0.16831298
1997:03,	2.9976559,	2.85,	0.17156984
1997:04,	2.8987644,	2.6,	0.22952852
1998:01,	2.7422597,	2.2625,	0.34181938
1998:02,	2.669729,	2.45,	0.32343584
1998:03,	2.6256893,	2.475,	0.2961012
1998:04,	2.5558918,	2.3125,	0.29492837
1999:01,	2.4656844,	2.175,	0.30714202
1999:02,	2.4009528,	2.2,	0.29301313
1999:03,	2.3997538,	2.3775,	0.26027837
1999:04,	2.436255,	2.525,	0.23769103
2000:01,	2.4453275,	2.4625,	0.208421
2000:02,	2.486318,	2.605,	0.19602638
2000:03,	2.5432072,	2.7125,	0.19749606
2000:04,	2.5755954,	2.675,	0.18444832
2001:01,	2.5544038,	2.4875,	0.16531865
2001:02,	2.5440042,	2.5125,	0.14780554
