time_Ran_2525_10,	Mean_Ran_2525_10,	Signal_Ran_2525_10,	sdev_Ran_2525_10
1993:03,	3.3733294,	3.3,	0.21594901
1993:04,	3.2836008,	3.03,	0.23365584
1994:01,	3.2528727,	3.2,	0.20613734
1994:02,	3.2557414,	3.275,	0.17371212
1994:03,	3.2736378,	3.325,	0.15143046
1994:04,	3.3133757,	3.425,	0.1442239
1995:01,	3.3431168,	3.4125,	0.12665078
1995:02,	3.3926308,	3.525,	0.1314443
1995:03,	3.3691852,	3.275,	0.12601636
1995:04,	3.2602913,	2.95,	0.20987341
1996:01,	3.122719,	2.775,	0.27597094
1996:02,	3.0483298,	2.875,	0.26195842
1996:03,	3.032559,	3.0025,	0.22492588
1996:04,	3.0296311,	3.025,	0.18879373
1997:01,	3.038283,	3.0625,	0.15867347
1997:02,	3.0293372,	3.0,	0.13467006
1997:03,	2.984218,	2.85,	0.13695668
1997:04,	2.8847265,	2.6,	0.20325507
1998:01,	2.7190042,	2.2625,	0.31971434
1998:02,	2.634027,	2.45,	0.30137753
1998:03,	2.587267,	2.475,	0.2655108
1998:04,	2.515689,	2.3125,	0.25427544
1999:01,	2.425151,	2.175,	0.2616934
1999:02,	2.3609555,	2.2,	0.24510095
1999:03,	2.3608499,	2.3775,	0.21046485
1999:04,	2.4007108,	2.525,	0.1903398
2000:01,	2.4210458,	2.4625,	0.16214068
2000:02,	2.46837,	2.605,	0.15894686
2000:03,	2.5344772,	2.7125,	0.17023362
2000:04,	2.577551,	2.675,	0.15680727
2001:01,	2.5576599,	2.4875,	0.14029668
2001:02,	2.5439832,	2.5125,	0.12035718
