time_Ran_2525_25,	Mean_Ran_2525_25,	Signal_Ran_2525_25,	sdev_Ran_2525_25
1972:04,	3.3211715,	2.889935,	0.8268106
1973:01,	3.1449575,	2.7915807,	0.7054735
1973:02,	3.0921504,	3.0656607,	0.585506
1973:03,	3.1517386,	3.3348775,	0.48314098
1973:04,	3.495822,	4.4712467,	0.68604
1974:01,	4.0395484,	5.2891717,	0.9532145
1974:02,	4.8443737,	6.830535,	1.4215392
1974:03,	6.10319,	9.185869,	2.1887703
1974:04,	7.4617157,	10.406936,	2.6070828
1975:01,	8.597842,	10.95156,	2.6597614
1975:02,	9.160207,	9.942823,	2.2892392
1975:03,	8.896359,	7.8609605,	1.9562744
1975:04,	8.245648,	6.6837234,	1.8468168
1976:01,	7.6452594,	6.43013,	1.7214001
1976:02,	7.1700773,	6.216179,	1.5388844
1976:03,	6.9443736,	6.5421658,	1.3109217
1976:04,	6.7268767,	6.208082,	1.1058762
1977:01,	6.5022774,	5.985676,	0.96425694
1977:02,	6.3846326,	6.2378497,	0.79135513
1977:03,	6.286386,	6.031979,	0.6678228
1977:04,	6.1888647,	6.00566,	0.55503684
1978:01,	6.153124,	6.121597,	0.44709766
1978:02,	6.2522016,	6.543147,	0.41992941
1978:03,	6.53409,	7.263573,	0.55247283
1978:04,	6.9939537,	8.111165,	0.811294
1979:01,	7.5155654,	8.652957,	0.9826756
1979:02,	7.969286,	8.958273,	1.030618
1979:03,	8.424263,	9.375105,	1.0395004
1979:04,	8.942042,	10.165544,	1.1318152
1980:01,	9.68062,	11.504838,	1.4307508
1980:02,	10.552883,	12.466452,	1.6833997
1980:03,	10.956623,	11.395132,	1.4772952
1980:04,	11.125291,	11.475942,	1.2262908
1981:01,	10.924578,	10.16164,	1.094814
1981:02,	10.397936,	9.053799,	1.1929255
1981:03,	9.6145735,	7.825,	1.4667497
1981:04,	8.985133,	7.7,	1.4840261
1982:01,	8.286593,	6.625,	1.5813999
1982:02,	7.5522327,	6.0375,	1.6162248
1982:03,	7.029461,	5.975,	1.5110122
1982:04,	6.560252,	5.5,	1.4108686
1983:01,	5.946661,	4.525,	1.4479861
1983:02,	5.50149,	4.725,	1.3111435
1983:03,	5.190665,	4.5375,	1.1556944
1983:04,	5.1183467,	5.15,	0.96154296
1984:01,	5.0456095,	4.8125,	0.79899716
1984:02,	5.08129,	5.3,	0.63480043
1984:03,	5.0684505,	4.95,	0.51924473
1984:04,	4.9006424,	4.425,	0.49886337
1985:01,	4.664112,	4.125,	0.5114855
1985:02,	4.5349393,	4.35,	0.44783768
1985:03,	4.445338,	4.25,	0.37916833
1985:04,	4.2764063,	3.85,	0.3948806
1986:01,	4.062646,	3.5875,	0.4333643
1986:02,	3.8622403,	3.4125,	0.4577906
1986:03,	3.7234554,	3.5,	0.40572307
1986:04,	3.6769457,	3.625,	0.33482915
1987:01,	3.7277539,	3.9,	0.29300854
1987:02,	3.9003644,	4.3625,	0.3587661
1987:03,	4.0931835,	4.5,	0.39590523
1987:04,	4.200917,	4.375,	0.3566447
1988:01,	4.2158093,	4.2,	0.29244083
1988:02,	4.3034115,	4.575,	0.28565574
1988:03,	4.494816,	4.975,	0.36901668
1988:04,	4.6476173,	4.9,	0.3585359
1989:01,	4.7215056,	4.85,	0.31030813
1989:02,	4.7802157,	4.9125,	0.26871327
1989:03,	4.7620363,	4.65,	0.22735447
1989:04,	4.618629,	4.225,	0.29425168
1990:01,	4.5183625,	4.35,	0.27977175
1990:02,	4.4241047,	4.2,	0.26627004
1990:03,	4.4097033,	4.45,	0.22486939
1990:04,	4.4382744,	4.5125,	0.1869804
1991:01,	4.2522917,	3.6625,	0.3730648
1991:02,	4.094317,	3.8375,	0.3769272
1991:03,	3.9870183,	3.7725,	0.33576193
1991:04,	3.8542228,	3.55,	0.33060768
1992:01,	3.7092953,	3.4,	0.332838
1992:02,	3.6333454,	3.525,	0.28976065
1992:03,	3.549368,	3.325,	0.27360943
1992:04,	3.4521277,	3.25,	0.25643092
1993:01,	3.3735108,	3.2125,	0.2343628
1993:02,	3.3599825,	3.375,	0.19630742
1993:03,	3.3466532,	3.3,	0.16146791
1993:04,	3.2636933,	3.03,	0.18725546
1994:01,	3.2261794,	3.2,	0.16798948
1994:02,	3.235633,	3.275,	0.13691281
1994:03,	3.2610922,	3.325,	0.115605816
1994:04,	3.3089664,	3.425,	0.116789594
1995:01,	3.3472917,	3.4125,	0.10503613
1995:02,	3.3991165,	3.525,	0.11452054
1995:03,	3.380943,	3.275,	0.11619417
1995:04,	3.2620463,	2.95,	0.20683134
1996:01,	3.1112778,	2.775,	0.27155188
1996:02,	3.0204647,	2.875,	0.25501576
1996:03,	3.0019197,	3.0025,	0.21037129
1996:04,	3.0090382,	3.025,	0.1700673
1997:01,	3.0235689,	3.0625,	0.1406454
1997:02,	3.022268,	3.0,	0.11494594
1997:03,	2.9772909,	2.85,	0.12000978
1997:04,	2.8696275,	2.6,	0.18839657
1998:01,	2.6923323,	2.2625,	0.3019451
1998:02,	2.5923598,	2.45,	0.2848674
1998:03,	2.5480042,	2.475,	0.23756748
1998:04,	2.479808,	2.3125,	0.21411271
1999:01,	2.3875747,	2.175,	0.21853988
1999:02,	2.3229413,	2.2,	0.20050104
1999:03,	2.325709,	2.3775,	0.16857685
1999:04,	2.3807278,	2.525,	0.15909834
2000:01,	2.414794,	2.4625,	0.13681135
2000:02,	2.4660976,	2.605,	0.1378166
2000:03,	2.5403645,	2.7125,	0.15432538
2000:04,	2.5905464,	2.675,	0.14323919
2001:01,	2.5710483,	2.4875,	0.12992954
2001:02,	2.5476022,	2.5125,	0.109260984
