time_Nbr_25,	Mean_Nbr_25,	Signal_Nbr_25,	sdev_Nbr_25
1993:01,	2.8340697,	3.2125,	0.57565093
1993:02,	2.8637013,	3.375,	0.596956
1993:03,	2.8580883,	3.3,	0.5904264
1993:04,	2.7733939,	3.03,	0.53594226
1994:01,	2.7775736,	3.2,	0.53291506
1994:02,	2.8040302,	3.275,	0.55116737
1994:03,	2.8366175,	3.325,	0.57479763
1994:04,	2.882789,	3.425,	0.6113527
1995:01,	2.9035616,	3.4125,	0.6255951
1995:02,	2.9485128,	3.525,	0.6609192
1995:03,	2.8952386,	3.275,	0.62262464
1995:04,	2.7671013,	2.95,	0.547644
1996:01,	2.642715,	2.775,	0.4641393
1996:02,	2.6085448,	2.875,	0.4191321
1996:03,	2.6328647,	3.0025,	0.42716053
1996:04,	2.6557977,	3.025,	0.43848595
1997:01,	2.679365,	3.0625,	0.45421654
1997:02,	2.6723397,	3.0,	0.44712603
1997:03,	2.622544,	2.85,	0.413211
1997:04,	2.5186043,	2.6,	0.35581312
1998:01,	2.3600886,	2.2625,	0.3004226
1998:02,	2.332816,	2.45,	0.24015875
1998:03,	2.3290725,	2.475,	0.21032578
1998:04,	2.2824638,	2.3125,	0.1728058
1999:01,	2.2138307,	2.175,	0.14092888
1999:02,	2.1848173,	2.2,	0.10575918
1999:03,	2.2253501,	2.3775,	0.12894514
1999:04,	2.2939332,	2.525,	0.18528494
2000:01,	2.3122158,	2.4625,	0.18329963
2000:02,	2.3636687,	2.605,	0.2228655
2000:03,	2.422521,	2.7125,	0.2692222
2000:04,	2.4433923,	2.675,	0.27676395
2001:01,	2.3953416,	2.4875,	0.2454823
2001:02,	2.375154,	2.5125,	0.22489703
