time_Com_2030,	Mean_Com_2030,	Signal_Com_2030,	sdev_Com_2030
1981:04,	9.134932,	7.7,	1.6139677
1982:01,	8.5221815,	6.625,	1.7708287
1982:02,	7.888272,	6.0375,	1.8637075
1982:03,	7.40766,	5.975,	1.8161844
1982:04,	6.952129,	5.5,	1.7955145
1983:01,	6.3469605,	4.525,	1.8793273
1983:02,	5.9539294,	4.725,	1.787967
1983:03,	5.5976853,	4.5375,	1.6666179
1983:04,	5.4942064,	5.15,	1.4620066
1984:01,	5.3372326,	4.8125,	1.3243214
1984:02,	5.336233,	5.3,	1.149179
1984:03,	5.2436757,	4.95,	1.0198729
1984:04,	5.034217,	4.425,	0.93801504
1985:01,	4.812228,	4.125,	0.91991735
1985:02,	4.699145,	4.35,	0.82812005
1985:03,	4.5917397,	4.25,	0.7506974
1985:04,	4.4123735,	3.85,	0.7458069
1986:01,	4.214953,	3.5875,	0.74496526
1986:02,	4.018342,	3.4125,	0.73919654
1986:03,	3.8877234,	3.5,	0.67532146
1986:04,	3.8216343,	3.625,	0.5989402
1987:01,	3.841609,	3.9,	0.51488644
1987:02,	3.973734,	4.3625,	0.49279243
1987:03,	4.108663,	4.5,	0.49451593
1987:04,	4.1766496,	4.375,	0.44235054
1988:01,	4.18532,	4.2,	0.39266407
1988:02,	4.28295,	4.575,	0.38575947
1988:03,	4.4540205,	4.975,	0.44268394
1988:04,	4.5672092,	4.9,	0.43094888
1989:01,	4.637455,	4.85,	0.39611268
1989:02,	4.7025046,	4.9125,	0.3688728
1989:03,	4.6878533,	4.65,	0.31173322
1989:04,	4.5685964,	4.225,	0.3375211
1990:01,	4.514619,	4.35,	0.3088909
1990:02,	4.434152,	4.2,	0.29760006
1990:03,	4.4379625,	4.45,	0.25597695
1990:04,	4.4576716,	4.5125,	0.2260372
1991:01,	4.2598834,	3.6625,	0.39526775
1991:02,	4.1563287,	3.8375,	0.38953096
1991:03,	4.065501,	3.7725,	0.37959284
1991:04,	3.93736,	3.55,	0.39945343
1992:01,	3.8043637,	3.4,	0.41903517
1992:02,	3.7355607,	3.525,	0.38367766
1992:03,	3.6300185,	3.325,	0.37624124
1992:04,	3.5386477,	3.25,	0.3689201
1993:01,	3.4575133,	3.2125,	0.35124975
