time_Nbr_15,	Mean_Nbr_15,	Signal_Nbr_15,	sdev_Nbr_15
1976:01,	4.4412746,	6.43013,	2.7895763
1976:02,	4.216515,	6.216179,	2.5015028
1976:03,	4.1414866,	6.5421658,	2.3639672
1976:04,	4.050549,	6.208082,	2.2336812
1977:01,	3.9562821,	5.985676,	2.1131942
1977:02,	3.9399333,	6.2378497,	2.0799723
1977:03,	3.9024477,	6.031979,	2.0308511
1977:04,	3.8733902,	6.00566,	1.994015
1978:01,	3.8750482,	6.121597,	1.9931966
1978:02,	3.9514954,	6.543147,	2.081802
1978:03,	4.1277514,	7.263573,	2.29705
1978:04,	4.3900824,	8.111165,	2.617644
1979:01,	4.652067,	8.652957,	2.9177024
1979:02,	4.8659678,	8.958273,	3.1469865
1979:03,	5.064709,	9.375105,	3.3603766
1979:04,	5.320793,	10.165544,	3.6518025
1980:01,	5.712353,	11.504838,	4.1216483
1980:02,	6.1299267,	12.466452,	4.6024523
1980:03,	6.2074165,	11.395132,	4.6493444
1980:04,	6.238918,	11.475942,	4.6597047
1981:01,	6.0279026,	10.16164,	4.42933
1981:02,	5.6910143,	9.053799,	4.083765
1981:03,	5.2584667,	7.825,	3.652511
1981:04,	4.963505,	7.7,	3.3133812
1982:01,	4.6091814,	6.625,	2.9397054
1982:02,	4.286679,	6.0375,	2.5885665
1982:03,	4.0774493,	5.975,	2.3237927
1982:04,	3.8789847,	5.5,	2.0852013
1983:01,	3.591601,	4.525,	1.8024755
1983:02,	3.439795,	4.725,	1.6017364
1983:03,	3.3258312,	4.5375,	1.4461085
1983:04,	3.365416,	5.15,	1.4613032
1984:01,	3.3438637,	4.8125,	1.4200163
1984:02,	3.4102316,	5.3,	1.4876574
1984:03,	3.3972054,	4.95,	1.466128
1984:04,	3.2953124,	4.425,	1.3619155
1985:01,	3.1713438,	4.125,	1.2339203
1985:02,	3.1319494,	4.35,	1.1790056
1985:03,	3.098316,	4.25,	1.1344974
1985:04,	3.009979,	3.85,	1.0429848
1986:01,	2.9052224,	3.5875,	0.93556774
1986:02,	2.8093624,	3.4125,	0.8328002
1986:03,	2.7665164,	3.5,	0.7743787
1986:04,	2.7657485,	3.625,	0.7633032
1987:01,	2.816124,	3.9,	0.8186899
1987:02,	2.9305072,	4.3625,	0.96249837
1987:03,	3.0304224,	4.5,	1.0733732
1987:04,	3.069606,	4.375,	1.1061954
1988:01,	3.0581353,	4.2,	1.0867268
1988:02,	3.1107874,	4.575,	1.1455041
1988:03,	3.2170894,	4.975,	1.273676
1988:04,	3.2751517,	4.9,	1.3327042
1989:01,	3.2976232,	4.85,	1.352284
1989:02,	3.3186715,	4.9125,	1.3726561
1989:03,	3.287413,	4.65,	1.3372667
1989:04,	3.190894,	4.225,	1.2405218
1990:01,	3.1463768,	4.35,	1.1868091
1990:02,	3.0979178,	4.2,	1.1309966
1990:03,	3.1111057,	4.45,	1.1421925
1990:04,	3.1341987,	4.5125,	1.1661204
1991:01,	3.0052133,	3.6625,	1.0512999
1991:02,	2.9419026,	3.8375,	0.9738315
1991:03,	2.8966181,	3.7725,	0.9149259
1991:04,	2.834304,	3.55,	0.8452989
1992:01,	2.7671292,	3.4,	0.7711362
1992:02,	2.7469728,	3.525,	0.74103945
1992:03,	2.7046494,	3.325,	0.6930279
1992:04,	2.6641226,	3.25,	0.64693975
1993:01,	2.6322613,	3.2125,	0.60918283
1993:02,	2.6415527,	3.375,	0.6165311
1993:03,	2.6381059,	3.3,	0.6106877
1993:04,	2.5889683,	3.03,	0.5625255
1994:01,	2.5831597,	3.2,	0.55244195
1994:02,	2.5963016,	3.275,	0.5650773
1994:03,	2.6152573,	3.325,	0.5853327
1994:04,	2.64388,	3.425,	0.6179854
1995:01,	2.660393,	3.4125,	0.6354007
1995:02,	2.688982,	3.525,	0.66791
1995:03,	2.6648164,	3.275,	0.6419051
1995:04,	2.5900605,	2.95,	0.57367283
1996:01,	2.5091403,	2.775,	0.49624422
1996:02,	2.4760075,	2.875,	0.45005274
1996:03,	2.4815068,	3.0025,	0.44643462
1996:04,	2.4922173,	3.025,	0.45241654
1997:01,	2.5055163,	3.0625,	0.4643501
1997:02,	2.5033078,	3.0,	0.45996156
1997:03,	2.4751878,	2.85,	0.43083298
1997:04,	2.4127502,	2.6,	0.37646785
1998:01,	2.3136542,	2.2625,	0.3143294
1998:02,	2.2812574,	2.45,	0.26194844
1998:03,	2.2711933,	2.475,	0.23083492
1998:04,	2.239893,	2.3125,	0.19338873
1999:01,	2.1945822,	2.175,	0.15670222
1999:02,	2.1698098,	2.2,	0.123432405
1999:03,	2.186845,	2.3775,	0.12978348
1999:04,	2.226268,	2.525,	0.17392755
2000:01,	2.241899,	2.4625,	0.18081008
2000:02,	2.273725,	2.605,	0.21579981
2000:03,	2.313007,	2.7125,	0.26068777
2000:04,	2.331913,	2.675,	0.27562407
2001:01,	2.309466,	2.4875,	0.25148004
2001:02,	2.2961876,	2.5125,	0.23356847
